"date_added","title","type","director","rating","duration","country_name","week","weekly_rank","cumulative_weeks_in_top_10"
"2021-09-17","The Father Who Moves Mountains","Movie","Daniel Sandu","TV-MA","110 min","Argentina","2021-09-19",3,1
"2019-09-01","First Kill","Movie","Steven C. Miller","R","102 min","Argentina","2021-09-19",4,1
"2021-09-10","Kate","Movie","Cedric Nicolas-Troyan","R","106 min","Argentina","2021-09-19",5,2
"2021-09-17","The Stronghold","Movie","Cédric Jimenez","TV-MA","105 min","Argentina","2021-09-19",7,1
"2021-09-10","Prey","Movie","Thomas Sieben","TV-MA","87 min","Argentina","2021-09-19",8,2
"2021-09-10","Firedrake the Silver Dragon","Movie","Tomer Eshed","TV-Y7","93 min","Argentina","2021-09-19",9,1
"2021-09-15","Schumacher","Movie","Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech","TV-14","113 min","Argentina","2021-09-19",10,1
"2021-09-17","Sex Education","TV Show","Unknown","TV-MA","3 Seasons","Argentina","2021-09-19",1,1
"2021-09-10","Lucifer","TV Show","Unknown","TV-14","6 Seasons","Argentina","2021-09-19",2,2
"2021-08-25","Clickbait","TV Show","Brad Anderson","TV-MA","1 Season","Argentina","2021-09-19",4,4
"2021-07-28","The Snitch Cartel: Origins","TV Show","Unknown","TV-MA","1 Season","Argentina","2021-09-19",5,8
"2021-09-17","Squid Game","TV Show","Unknown","TV-MA","1 Season","Argentina","2021-09-19",6,1
"2017-05-04","Pasión de Gavilanes","TV Show","Unknown","TV-14","1 Season","Argentina","2021-09-19",7,12
"2021-08-13","The Kingdom","TV Show","Unknown","TV-MA","1 Season","Argentina","2021-09-19",9,6
"2021-02-03","Pablo Escobar, el patrón del mal","TV Show","Unknown","TV-MA","1 Season","Argentina","2021-09-19",10,4
"2021-09-10","Kate","Movie","Cedric Nicolas-Troyan","R","106 min","Argentina","2021-09-12",2,1
"2021-09-03","Worth","Movie","Sara Colangelo","PG-13","119 min","Argentina","2021-09-12",3,2
